T00|T01|T02|T03|T04|doc_id
0.3166961563742598|0.008800872801129431|0.008842830260262351|0.6568620658806165|0.008798074683731942|108
0.8474967311629998|0.06810606846760603|0.002219878072347799|0.07994143832334091|0.002235883973705365|109
0.9061015859741991|0.004515010333620163|0.004548169181404018|0.08046330651458135|0.004371927996195249|110
0.5022858911581978|0.30466907277056726|0.018304143309476266|0.018419998954968337|0.1563208938067903|111
0.008467447925311315|0.895246927272015|0.008470653042872882|0.008849492314512541|0.07896547944528821|112
0.03355812109900159|0.03353248301611807|0.033405020893172876|0.03354790593417873|0.8659564690575287|113
0.008401674935265308|0.008060913490569978|0.008185001360441153|0.3736999980833747|0.6016524121303489|114
0.8645416911098613|0.033665297689096804|0.034177147973601586|0.03391366689550011|0.03370219633194023|115
0.01146723153577745|0.6974713803913504|0.011350027006335733|0.011234612624966096|0.2684767484415704|116
0.3687310724526021|0.5679029506417194|0.002953568250261352|0.0029595444305278045|0.05745286422488916|117
0.02552877002181756|0.025314113706865402|0.025429579684387436|0.02529714817650787|0.8984303884104218|118
0.059312781829566036|0.028785001839301685|0.13528597064747167|0.73224129504296|0.04437495064070058|119
