doc_id|term_str|n|tfidf|sentiment|sentiment_weighted_count
18|learning|1|5.870364719583405|1.0|1.0
19|attack|1|6.709900047390159|-1.0|-1.0
19|attacking|1|8.635899465946382|-1.0|-1.0
19|danger|3|23.054427199281985|-1.0|-3.0
19|degree|1|7.083358442917603|1.0|1.0
19|fear|3|20.444608820975105|-1.0|-3.0
19|hate|1|8.019228105497888|-1.0|-1.0
19|kill|2|12.996791884392891|-1.0|-2.0
19|murder|1|9.083358442917604|-1.0|-1.0
19|pretty|1|5.531562806131646|1.0|1.0
19|reason|2|7.999516482599325|1.0|2.0
20|intuitive|1|9.957827560833744|1.0|1.0
21|crime|1|6.413507044609934|-1.0|-1.0
21|government|1|4.239009313377797|-1.0|-1.0
21|level|1|4.906165441011251|1.0|1.0
21|presence|1|7.116525306852802|1.0|1.0
21|sea|1|8.15047263877614|1.0|1.0
22|agree|1|6.372865060112588|1.0|1.0
22|disagree|1|7.842350343413808|-1.0|-1.0
22|educated|1|9.372865060112588|1.0|1.0
22|liberal|1|8.735435139497296|0.0|0.0
23|dominant|1|8.45532722030456|-1.0|-1.0
23|god|1|7.413507044609934|1.0|1.0
24|avoid|1|4.735435139497296|-1.0|-1.0
24|deal|1|5.928080217439692|1.0|1.0
24|money|1|3.209634711244284|1.0|1.0
24|structure|1|6.167750630207975|1.0|1.0
26|feces|1|9.372865060112588|-1.0|-1.0
26|good|1|2.8650704199138914|1.0|1.0
26|shit|1|8.019228105497888|-1.0|-1.0
27|dominant|5|42.2766361015228|-1.0|-5.0
28|friend|1|7.257387842692652|1.0|1.0
28|intelligent|1|7.898933871780176|1.0|1.0
28|job|1|5.042944174471695|1.0|1.0
28|leave|1|5.8013230751537535|-1.0|-1.0
29|chosen|1|6.787902559391432|1.0|1.0
29|culture|1|6.167750630207975|1.0|1.0
29|talk|1|5.498395942196447|1.0|1.0
29|weird|1|6.928080217439692|-1.0|-1.0
29|word|1|6.167750630207975|1.0|1.0
29|words|1|5.099846565706172|-1.0|-1.0
30|die|1|6.898933871780176|-1.0|-1.0
30|powerful|1|5.565510138054983|1.0|1.0
31|fuss|1|10.957827560833744|-1.0|-1.0
31|hate|1|8.019228105497888|-1.0|-1.0
31|minority|1|9.735435139497296|-1.0|-1.0
31|money|1|3.209634711244284|1.0|1.0
31|pay|1|3.669345949039524|1.0|1.0
32|eat|1|5.623926824280305|1.0|1.0
32|harmful|1|6.185238056936816|-1.0|-1.0
33|bother|1|9.957827560833744|-1.0|-1.0
33|hanging|1|9.372865060112588|-1.0|-1.0
33|lost|1|6.393042942050218|-1.0|-1.0
33|measured|3|24.25007532875281|1.0|3.0
33|minimum|1|7.294862548111315|-1.0|-1.0
33|persistent|1|7.684809066427328|1.0|1.0
33|ram|1|8.735435139497296|-1.0|-1.0
33|supply|1|6.476700871097128|1.0|1.0
34|hungry|1|8.372865060112588|-1.0|-1.0
34|smell|1|6.612052723992014|-1.0|-1.0
35|aggressive|1|7.842350343413808|-1.0|-1.0
35|pretty|1|5.531562806131646|1.0|1.0
36|correspondence|1|10.957827560833744|1.0|1.0
36|information|1|3.972934453223952|1.0|1.0
36|kind|1|4.225377447790031|1.0|1.0
36|pick|1|6.393042942050218|1.0|1.0
