term_str|n|max_pos|max_pos_group|p|i|df|dfidf|porter_stem|stop|sentiment
levy|1|VB|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|levi|False|-1.0
liar|11|NN|NOUN|1.2678025409068016e-05|16.2673104099041|1|16.2673104099041|liar|False|-1.0
libel|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|libel|False|-1.0
liberal|23|JJ|ADJ|2.650859858259676e-05|15.20318007248438|14|212.8445210147813|liber|False|0.0
liberty|4|NN|NOUN|4.610191057842914e-06|17.726742028541395|3|53.18022608562418|liberti|False|1.0
library|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|6|100.36045217124835|librari|False|1.0
lick|5|VBP|VERB|5.762738822303643e-06|17.404813933654033|4|69.61925573461613|lick|False|-1.0
lie|11|NN|VERB|1.2678025409068016e-05|16.2673104099041|10|162.67310409904098|lie|False|-1.0
lifeless|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lifeless|False|-1.0
lighthouse|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|1|18.726742028541395|lighthous|False|1.0
liking|6|VBG|VERB|6.915286586764372e-06|17.141779527820237|6|102.85067716692144|like|False|1.0
limited|140|JJ|ADJ|0.0001613566870245|12.597459011596428|110|1385.720491275607|limit|False|-1.0
limp|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|limp|False|-1.0
linguist|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|1|18.726742028541395|linguist|False|1.0
lint|26|NN|NOUN|2.9966241875978943e-05|15.026302310400302|9|135.23672079360273|lint|False|-1.0
lion|5|NN|NOUN|5.762738822303643e-06|17.404813933654033|4|69.61925573461613|lion|False|1.0
liquor|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|6|100.36045217124835|liquor|False|-1.0
loaf|3|NN|NOUN|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|loaf|False|-1.0
lobbyist|4|NN|NOUN|4.610191057842914e-06|17.726742028541395|2|35.45348405708279|lobbyist|False|-1.0
lockup|10|NN|NOUN|1.1525477644607286e-05|16.404813933654033|2|32.809627867308066|lockup|False|-1.0
logical|17|JJ|ADJ|1.9593311995832388e-05|15.639279187291054|15|234.5891878093658|logic|False|1.0
